tipo,numero,titulo,descripcion,comentarios,Comentario Preprocesado,Vector FT-IDF unigrama,Vector FT-IDF bigrama,Etiqueta: positivo(1) | neutral(0) | negativo(-1)
Issue,4793,MOD347 : Error E010330 Caracteres no válidos 'Número de convocatoria BDNS',"module: l10n_es_aeat_mod347
version: 18.0

## Steps to reproduce
1. Create a Modelo 347 report.
2. Generate the BOE file.
3. Upload the BOE file in the AEAT (Hacienda) application.

## Current behavior
When uploading the file in the AEAT application, all records return the same error:

**E010330 - Caracteres no válidos: 'Número de convocatoria BDNS'**

<img width=""1115"" height=""398"" alt=""Image"" src=""https://github.com/user-attachments/assets/3f01f163-4a42-4728-bf27-f65919819c8d"" />

## Expected behavior
The BOE file should be accepted by the AEAT website without validation errors.

## Notes / hints
- It looks like the generated file includes the text `Número de convocatoria BDNS`, which contains characters that are not allowed in the BOE format (or in the expected encoding).
- Please confirm where this value is coming from (partner name, invoice line description, narration/notes, etc.) and ensure it is properly sanitized/encoded before generating the BOE file.
",Siendo tratado en #4784 ,tratar,,,0.0
Issue,4760,Actualizar modelo 190 en rama 16.0,"Actualmente, al generar el fichero del modelo 190 desde Odoo 16.0 (rama 16.0) utilizando el módulo l10n_es_aeat_mod190, se están produciendo errores al intentar importar dicho fichero en la sede electrónica de la AEAT para el ejercicio 2025.
El error devuelto por Hacienda está relacionado con los campos correspondientes a prestaciones de jubilación, viudedad, pensiones por incapacidad y percepciones similares, que para el ejercicio 2025 son requeridos por la AEAT y no parecen estar contemplados en esta versión del módulo.
Si es posible, se solicita la actualización del módulo ""l10n_es_aeat_mod190"" en la rama 16.0 para incorporar los campos y claves necesarios para el ejercicio 2025, especialmente aquellos relacionados con prestaciones de jubilación, viudedad, pensiones por incapacidad y percepciones asociadas.
Estos campos ya han sido incorporados en la rama 18.0, por lo que un backport de dichos cambios permitiría mantener la compatibilidad del modelo 190 en Odoo 16.0.

Gracias.","Además, hemos podido comprobar que el mismo problema se reproduce en Odoo 17.0, utilizando el módulo l10n_es_aeat_mod190 en la rama 17.0.

Al generar el fichero del modelo 190 desde Odoo 17.0 para el ejercicio 2025, la sede electrónica de la AEAT devuelve errores similares, relacionados con la falta de los campos obligatorios correspondientes a prestaciones de jubilación, viudedad, pensiones por incapacidad y percepciones asimiladas, que son requeridos por la AEAT para dicho ejercicio.

Actualmente, dichos campos no parecen estar contemplados tampoco en la rama 17.0 del módulo, provocando que el fichero generado no sea válido para su importación.

Dado que estos campos ya han sido incorporados en la rama 18.0, consideramos que un backport de los cambios desde 18.0 hacia 17.0 (y 16.0) permitiría mantener la compatibilidad del modelo 190 con los requisitos de la AEAT para el ejercicio 2025.

Gracias por vuestro trabajo y soporte.",poder comprobar problema reproducir odoo utilizar módulo l10n_es_aeat_mod190 rama generar fichero modelo odoo ejercicio sede electrónico aeat devolver error similar relacionado falta campo obligatorio correspondiente prestación jubilación viudedad pensión incapacidad percepción asimilada requerir aeat ejercicio actualmente dicho campo parecer contemplado rama módulo provocar fichero generado válir importación campo incorporar rama considerar backport cambio permitir mantener compatibilidad modelo requisito aeat ejercicio gracias trabajo soporte,,,-1.0
Issue,4760,Actualizar modelo 190 en rama 16.0,"Actualmente, al generar el fichero del modelo 190 desde Odoo 16.0 (rama 16.0) utilizando el módulo l10n_es_aeat_mod190, se están produciendo errores al intentar importar dicho fichero en la sede electrónica de la AEAT para el ejercicio 2025.
El error devuelto por Hacienda está relacionado con los campos correspondientes a prestaciones de jubilación, viudedad, pensiones por incapacidad y percepciones similares, que para el ejercicio 2025 son requeridos por la AEAT y no parecen estar contemplados en esta versión del módulo.
Si es posible, se solicita la actualización del módulo ""l10n_es_aeat_mod190"" en la rama 16.0 para incorporar los campos y claves necesarios para el ejercicio 2025, especialmente aquellos relacionados con prestaciones de jubilación, viudedad, pensiones por incapacidad y percepciones asociadas.
Estos campos ya han sido incorporados en la rama 18.0, por lo que un backport de dichos cambios permitiría mantener la compatibilidad del modelo 190 en Odoo 16.0.

Gracias.","Sí, desde luego la solución pasa por llevar esos cambios a ambas ramas. La cuestión es que quien esté interesado en ello debe hacerlo, financiar para que lo hagan, o esperar a que otros lo hagan, ya que así es como funciona el software abierto: se contribuye voluntariamente y donde es posible hacerlo. Lo ideal sería que quien contribuye el parche, lo haga para todas las versiones posibles, pero no se le puede exigir que así lo haga. Cuando el parche se pone en una versión intermedia, sí que solemos pedir que por lo menos lo lleven a todas las versiones superiores para mantener todo sincronizado. En este caso, es al revés, habiendo sido puesto en la última versión disponible, pero no estando en las versiones anteriores.

La mayoría de trabajo está hecho, así que solo falta ese último empujón. ¿Os animáis?",solución pasar cambio ambos rama cuestión estar interesado financiar hacer esperar hacer funcionar software abierto contribuir voluntariamente ideal contribuir parche hacer versión posible exigir hacer parche poner versión intermedio soler pedir llevar versión superior mantener sincronizado caso revés haber poner versión disponible estar versión anterior mayoría trabajo faltar empujón animáis,,,1.0
Issue,4760,Actualizar modelo 190 en rama 16.0,"Actualmente, al generar el fichero del modelo 190 desde Odoo 16.0 (rama 16.0) utilizando el módulo l10n_es_aeat_mod190, se están produciendo errores al intentar importar dicho fichero en la sede electrónica de la AEAT para el ejercicio 2025.
El error devuelto por Hacienda está relacionado con los campos correspondientes a prestaciones de jubilación, viudedad, pensiones por incapacidad y percepciones similares, que para el ejercicio 2025 son requeridos por la AEAT y no parecen estar contemplados en esta versión del módulo.
Si es posible, se solicita la actualización del módulo ""l10n_es_aeat_mod190"" en la rama 16.0 para incorporar los campos y claves necesarios para el ejercicio 2025, especialmente aquellos relacionados con prestaciones de jubilación, viudedad, pensiones por incapacidad y percepciones asociadas.
Estos campos ya han sido incorporados en la rama 18.0, por lo que un backport de dichos cambios permitiría mantener la compatibilidad del modelo 190 en Odoo 16.0.

Gracias.","@pedrobaeza Gracias por la aclaración.
De acuerdo, nos pondremos con el backport de los cambios desde 18.0 a las ramas 16.0 y 17.0 para cubrir los requisitos del ejercicio 2025, intentaremos hacerlo lo antes posible.
 
Gracias. 🙂",pedrobaeza gracias aclaración poner backport cambio rama cubrir requisito ejercicio intentar gracias cara sonreir ligeramente,,,1.0
Issue,4681,[17.0] ImporteTotal=0.0 verifactu intracomunitarias,"## Module
l10n_es_verifactu_oca

## Describe the bug
Cuando se envían las facturas de clientes intracomunitarios a Verifactu, devuelve AceptadoConErrores código 2005. La razón del error es que los datos de factura que se envían tienen ImporteTotal"": 0.0 cuando la BaseImponibleOimporteNoSujeto"": 78.0

## To Reproduce
No sé si se pudiera deber a una migración realizada de V16 a V17 ya que he comparado para un mismo cliente:
- Registro premigración ""BaseImponibleOimporteNoSujeto"": 42.0, ""CuotaRepercutida"": 0}]}, ""CuotaTotal"": 0.0, ""ImporteTotal"": 42.0
- Registro postmigración ""BaseImponibleOimporteNoSujeto"": 78.0, ""CuotaRepercutida"": 0}]}, ""CuotaTotal"": 0.0, ""ImporteTotal"": 0.0

He buscado pero no he encuentro ningún reporte similar en V17, así que entiendo que algo ha debido pasar al migrar la BD","Hola.

Agradecería si alguien puede confirmar que también tiene este problema en Verifactu en V17. He buscado razones para que funcionara correctamente en V16 y tras migrar a V17 apareciera este error, pero no he encontrado nada.

Gracias ",hola agradecer alguien confirmar problema verifactu v17 buscar razón funcionar correctamente v16 migrar v17 aparecer error encontrar gracias,,,-1.0
Issue,4666,[18.0] Problema en el tablero de contabilidad,"Buenas a todos, desde que realice la migración de varias bbdd de la v12 y la v14 a la v18, me he encontrado una diferencia sustancial entre estas, y es que la bbdd que viene de la v14 al acceder al tablero de contabilidad y seleccionar el diario del banco, por ejemplo BBVA, este me muestra las líneas del extracto bancario tal y como muestro en la siguiente captura: https://ibb.co/v6Y4Lx61 (he eliminado de la imágen datos, es simplemente para que se vea la estructura), en cambio cuando yo me voy a mi bbdd que traigo de mi v12, si accedo al tablero de contabilidad desde odoo18, donde se aloja también la bbdd que traigo de la v14, este me muestra una vista diferente, en vez de las líneas de extracto bancario solo me muestra el extracto bancario, como muestro en la siguiente imagen: https://ibb.co/8nqnmGws

Como se ve en las imágenes, el action al que se llama es diferente, no se si eso puede ser el causante de este problema.

Sabéis alguna manera de poder resolverlo?

Gracias de antemano!","Ya he podido solucionarlo, en la v12 existía en el core de odoo la reconciliación, a partir de la v14, ya no existe y se hace mediante los módulos de oca, y es por eso que ese módulo al llegar a la v18 y desplegar la bbdd actualizada, no mostraba lo mismo ya que no tenía el módulo de reconciliación.

Por si a alguien le sirve aquí estaba la solución.

Gracias!",poder solucionar él v12 existir core odoo reconciliación v14 módulo oca módulo llegar v18 desplegar bbdd actualizado mostrar módulo reconciliación alguien servir solución gracias,,,0.0
Issue,4652,[17.0][‎‎l10n_es_vat_book] DUA grouped tax error,"The VAT book calculation gives an error when grouped taxes are used.

## Module
l10n_es_vat_book

## Describe the bug
The VAT ledger calculation returns an error when grouped taxes are used. The system attempts to find the grouped tax used in the invoice line within the journal entries and returns a key error.
https://github.com/OCA/l10n-spain/blob/8af041d43cd184373e75b8546b94222896a614e0/l10n_es_vat_book/models/l10n_es_vat_book.py#L281

## To Reproduce
All those that contain the following commit-> https://github.com/OCA/l10n-spain/commit/8744339c6d84fbe2e74d4c5c5a86dc65dd1e6e67

Steps to reproduce the behavior:
1. Create an invoice with a grouped tax (DUA).
2. Validate the invoice.
3. Generate a VAT ledger for the invoice period.
4. A key error will be displayed.

## Error/debug line
Contents of the ""res"" dictionary:
```
2025-12-05 10:11:00,281 1 ERROR test_02_12_25 root: {account.tax(9,): {'tax': account.tax(9,), 'base': 10653.28, 'amount': 0, 'deductible_amount': 0}, account.tax(154,): {'tax': account.tax(154,), 'base': 10653.28, 'amount': 0, 'deductible_amount': 0}} 
```

Error returned by the system:
```
File ""/opt/odoo/auto/addons/l10n_es_vat_book/models/l10n_es_vat_book.py"", line 283, in upsert_book_line_tax
odoo-1        |     vat_book_line[""base_amount""] += res[tax][""base""]
odoo-1        | KeyError: account.tax(157,)
```

As can see, the system tries to search for the tax grouped by the tax breakdowns. Something at this point has not been changed correctly in the commit.","@pedrobaeza tiene que ver con los cambios que llevasteis a cabo no hace mucho. Está causando ralentización y errores cuando se utilizan grupos de impuestos. En este caso el DUA, concretamente.

Ya nos das feedback.",pedrobaeza cambio llevasteis cabo causar ralentización error utilizar grupo impuesto caso dua concretamente dar feedback,,,-1.0
Issue,4652,[17.0][‎‎l10n_es_vat_book] DUA grouped tax error,"The VAT book calculation gives an error when grouped taxes are used.

## Module
l10n_es_vat_book

## Describe the bug
The VAT ledger calculation returns an error when grouped taxes are used. The system attempts to find the grouped tax used in the invoice line within the journal entries and returns a key error.
https://github.com/OCA/l10n-spain/blob/8af041d43cd184373e75b8546b94222896a614e0/l10n_es_vat_book/models/l10n_es_vat_book.py#L281

## To Reproduce
All those that contain the following commit-> https://github.com/OCA/l10n-spain/commit/8744339c6d84fbe2e74d4c5c5a86dc65dd1e6e67

Steps to reproduce the behavior:
1. Create an invoice with a grouped tax (DUA).
2. Validate the invoice.
3. Generate a VAT ledger for the invoice period.
4. A key error will be displayed.

## Error/debug line
Contents of the ""res"" dictionary:
```
2025-12-05 10:11:00,281 1 ERROR test_02_12_25 root: {account.tax(9,): {'tax': account.tax(9,), 'base': 10653.28, 'amount': 0, 'deductible_amount': 0}, account.tax(154,): {'tax': account.tax(154,), 'base': 10653.28, 'amount': 0, 'deductible_amount': 0}} 
```

Error returned by the system:
```
File ""/opt/odoo/auto/addons/l10n_es_vat_book/models/l10n_es_vat_book.py"", line 283, in upsert_book_line_tax
odoo-1        |     vat_book_line[""base_amount""] += res[tax][""base""]
odoo-1        | KeyError: account.tax(157,)
```

As can see, the system tries to search for the tax grouped by the tax breakdowns. Something at this point has not been changed correctly in the commit.","@pedrobaeza Pudiste echarle un ojo a los comentarios en esta incidencia?

Gracias.",pedrobaeza pudiste echar él ojo comentario incidencia gracias,,,0.0
Issue,4652,[17.0][‎‎l10n_es_vat_book] DUA grouped tax error,"The VAT book calculation gives an error when grouped taxes are used.

## Module
l10n_es_vat_book

## Describe the bug
The VAT ledger calculation returns an error when grouped taxes are used. The system attempts to find the grouped tax used in the invoice line within the journal entries and returns a key error.
https://github.com/OCA/l10n-spain/blob/8af041d43cd184373e75b8546b94222896a614e0/l10n_es_vat_book/models/l10n_es_vat_book.py#L281

## To Reproduce
All those that contain the following commit-> https://github.com/OCA/l10n-spain/commit/8744339c6d84fbe2e74d4c5c5a86dc65dd1e6e67

Steps to reproduce the behavior:
1. Create an invoice with a grouped tax (DUA).
2. Validate the invoice.
3. Generate a VAT ledger for the invoice period.
4. A key error will be displayed.

## Error/debug line
Contents of the ""res"" dictionary:
```
2025-12-05 10:11:00,281 1 ERROR test_02_12_25 root: {account.tax(9,): {'tax': account.tax(9,), 'base': 10653.28, 'amount': 0, 'deductible_amount': 0}, account.tax(154,): {'tax': account.tax(154,), 'base': 10653.28, 'amount': 0, 'deductible_amount': 0}} 
```

Error returned by the system:
```
File ""/opt/odoo/auto/addons/l10n_es_vat_book/models/l10n_es_vat_book.py"", line 283, in upsert_book_line_tax
odoo-1        |     vat_book_line[""base_amount""] += res[tax][""base""]
odoo-1        | KeyError: account.tax(157,)
```

As can see, the system tries to search for the tax grouped by the tax breakdowns. Something at this point has not been changed correctly in the commit.","No, lo siento.",sentir,,,0.0
Issue,4652,[17.0][‎‎l10n_es_vat_book] DUA grouped tax error,"The VAT book calculation gives an error when grouped taxes are used.

## Module
l10n_es_vat_book

## Describe the bug
The VAT ledger calculation returns an error when grouped taxes are used. The system attempts to find the grouped tax used in the invoice line within the journal entries and returns a key error.
https://github.com/OCA/l10n-spain/blob/8af041d43cd184373e75b8546b94222896a614e0/l10n_es_vat_book/models/l10n_es_vat_book.py#L281

## To Reproduce
All those that contain the following commit-> https://github.com/OCA/l10n-spain/commit/8744339c6d84fbe2e74d4c5c5a86dc65dd1e6e67

Steps to reproduce the behavior:
1. Create an invoice with a grouped tax (DUA).
2. Validate the invoice.
3. Generate a VAT ledger for the invoice period.
4. A key error will be displayed.

## Error/debug line
Contents of the ""res"" dictionary:
```
2025-12-05 10:11:00,281 1 ERROR test_02_12_25 root: {account.tax(9,): {'tax': account.tax(9,), 'base': 10653.28, 'amount': 0, 'deductible_amount': 0}, account.tax(154,): {'tax': account.tax(154,), 'base': 10653.28, 'amount': 0, 'deductible_amount': 0}} 
```

Error returned by the system:
```
File ""/opt/odoo/auto/addons/l10n_es_vat_book/models/l10n_es_vat_book.py"", line 283, in upsert_book_line_tax
odoo-1        |     vat_book_line[""base_amount""] += res[tax][""base""]
odoo-1        | KeyError: account.tax(157,)
```

As can see, the system tries to search for the tax grouped by the tax breakdowns. Something at this point has not been changed correctly in the commit.",@pedrobaeza Podéis echarle un ojo? O proponemos parche directamente?,pedrobaeza poder echar él ojo proponer parche directamente,,,0.0
